State,Year,Quarter,Districts,Transaction_count,Transaction_amount
andhra-pradesh,2018,3,kurnool,2921189,29083.89
andhra-pradesh,2018,3,krishna,2396934,37542.03
andhra-pradesh,2018,3,chittoor,2297429,32835.18
andhra-pradesh,2018,3,guntur,1912529,31277.65
andhra-pradesh,2018,3,anantapur,1815215,26817.88
andhra-pradesh,2018,3,ysr,1557444,22359.05
andhra-pradesh,2018,3,west godavari,1431282,23090.78
andhra-pradesh,2018,3,prakasam,1319651,23464.53
andhra-pradesh,2018,4,visakhapatnam,4791421,73666.36
andhra-pradesh,2018,4,chittoor,3166201,49790.94
andhra-pradesh,2018,4,east godavari,3052762,46526.25
andhra-pradesh,2018,4,krishna,2839161,54162.52
andhra-pradesh,2018,4,guntur,2546620,47302.51
andhra-pradesh,2018,4,kurnool,2508530,36265.45
andhra-pradesh,2018,4,anantapur,2286391,39758.78
andhra-pradesh,2018,4,spsr nellore,1814997,32934.49
andhra-pradesh,2018,4,ysr,1732527,32523.4
andhra-pradesh,2018,4,prakasam,1692862,32552.54
andhra-pradesh,2019,1,visakhapatnam,9690866,134598.57
andhra-pradesh,2019,1,chittoor,6486813,82233.72
andhra-pradesh,2019,1,krishna,5443981,90613.46
andhra-pradesh,2019,1,east godavari,5440146,73822.65
andhra-pradesh,2019,1,guntur,4846553,77659.34
andhra-pradesh,2019,1,kurnool,4193432,55415.65
andhra-pradesh,2019,1,anantapur,3891336,60447.31
andhra-pradesh,2019,1,spsr nellore,3333584,51619.32
andhra-pradesh,2019,1,prakasam,2931081,48075.28
andhra-pradesh,2019,1,ysr,2852197,49158.12
andhra-pradesh,2019,2,visakhapatnam,11705738,207974.8
andhra-pradesh,2019,2,krishna,6428472,134370.29
andhra-pradesh,2019,2,chittoor,5983308,109827.28
andhra-pradesh,2019,2,guntur,5005275,104052.47
andhra-pradesh,2019,2,east godavari,4699261,91164.05
andhra-pradesh,2019,2,kurnool,3895824,73582.85
andhra-pradesh,2019,2,anantapur,3578836,78307.82
andhra-pradesh,2019,2,spsr nellore,3141891,68808.73
andhra-pradesh,2019,2,prakasam,2670529,62623.96
andhra-pradesh,2019,2,ysr,2606284,63768.57
andhra-pradesh,2019,3,visakhapatnam,16694947,269448.37
andhra-pradesh,2019,3,krishna,8408474,164040.74
andhra-pradesh,2019,3,chittoor,8201783,138374.56
andhra-pradesh,2019,3,guntur,6942304,130756.61
andhra-pradesh,2019,3,east godavari,6537303,113877.26
andhra-pradesh,2019,3,kurnool,5139134,90256.33
andhra-pradesh,2019,3,anantapur,4889720,95540.81
andhra-pradesh,2019,3,spsr nellore,4150195,82566.0
andhra-pradesh,2019,3,prakasam,3430750,73545.02
andhra-pradesh,2019,3,ysr,3296586,74475.44
andhra-pradesh,2019,4,visakhapatnam,23594874,391332.96
andhra-pradesh,2019,4,krishna,11719402,230397.86
andhra-pradesh,2019,4,chittoor,11246986,192984.76
andhra-pradesh,2019,4,guntur,9761330,185656.26
andhra-pradesh,2019,4,east godavari,9285739,168167.74
andhra-pradesh,2019,4,kurnool,7001958,132331.06
andhra-pradesh,2019,4,anantapur,6764112,138872.49
andhra-pradesh,2019,4,spsr nellore,5877804,117860.14
andhra-pradesh,2019,4,prakasam,4865473,106040.78
andhra-pradesh,2019,4,ysr,4793157,108650.74
andhra-pradesh,2020,1,visakhapatnam,27115031,488097.48
andhra-pradesh,2020,1,chittoor,13257740,234418.49
andhra-pradesh,2020,1,krishna,12175289,244817.03
andhra-pradesh,2020,1,guntur,11493331,229927.35
andhra-pradesh,2020,1,east godavari,11346242,218547.01
andhra-pradesh,2020,1,anantapur,8466129,178643.26
andhra-pradesh,2020,1,kurnool,8246869,170227.1
andhra-pradesh,2020,1,spsr nellore,7430247,153878.3
andhra-pradesh,2020,1,prakasam,6318396,141691.05
andhra-pradesh,2020,1,ysr,6031255,140599.25
andhra-pradesh,2020,2,visakhapatnam,25300401,482938.9
andhra-pradesh,2020,2,chittoor,14848197,273613.0
andhra-pradesh,2020,2,east godavari,13130334,263199.06
andhra-pradesh,2020,2,krishna,12313709,269641.49
andhra-pradesh,2020,2,guntur,12308707,274635.94
andhra-pradesh,2020,2,anantapur,10473739,220940.07
andhra-pradesh,2020,2,kurnool,9821381,224193.72
andhra-pradesh,2020,2,spsr nellore,9454274,206653.76
andhra-pradesh,2020,2,prakasam,8844580,198460.27
andhra-pradesh,2020,2,ysr,8033609,195972.07
andhra-pradesh,2020,3,visakhapatnam,34421299,676284.4
andhra-pradesh,2020,3,chittoor,20501863,428115.66
andhra-pradesh,2020,3,krishna,19110457,447884.59
andhra-pradesh,2020,3,east godavari,17972431,393000.44
andhra-pradesh,2020,3,guntur,17601395,425311.96
andhra-pradesh,2020,3,spsr nellore,16468209,391283.25
andhra-pradesh,2020,3,anantapur,14447683,341020.38
andhra-pradesh,2020,3,kurnool,13243292,325293.51
andhra-pradesh,2020,3,prakasam,12266310,312217.05
andhra-pradesh,2020,3,ysr,11934653,320370.07
andhra-pradesh,2020,4,visakhapatnam,46551467,918798.23
