State,Year,Quarter,District,Count,Amount
andhra-pradesh,2018,2,anantapur district,937023,16903.66
andhra-pradesh,2018,2,ysr district,690842,14155.0
andhra-pradesh,2018,2,west godavari district,786033,16880.25
andhra-pradesh,2018,2,kurnool district,968439,15318.89
andhra-pradesh,2018,2,chittoor district,1185723,19904.19
andhra-pradesh,2018,2,guntur district,1088101,21084.76
andhra-pradesh,2018,2,krishna district,1224987,24481.42
andhra-pradesh,2018,3,east godavari district,3226907,35512.47
andhra-pradesh,2018,3,srikakulam district,1073883,13183.22
andhra-pradesh,2018,3,spsr nellore district,1308890,22159.39
andhra-pradesh,2018,3,vizianagaram district,970132,11635.46
andhra-pradesh,2018,3,visakhapatnam district,3394576,48218.92
andhra-pradesh,2018,3,prakasam district,1319651,23464.53
andhra-pradesh,2018,3,anantapur district,1815215,26817.88
andhra-pradesh,2018,3,ysr district,1557444,22359.05
andhra-pradesh,2018,3,west godavari district,1431282,23090.78
andhra-pradesh,2018,3,kurnool district,2921189,29083.89
andhra-pradesh,2018,3,chittoor district,2297429,32835.18
andhra-pradesh,2018,3,guntur district,1912529,31277.65
andhra-pradesh,2018,3,krishna district,2396934,37542.03
andhra-pradesh,2018,4,east godavari district,3052762,46526.25
andhra-pradesh,2018,4,srikakulam district,1252807,18702.79
andhra-pradesh,2018,4,spsr nellore district,1814997,32934.49
andhra-pradesh,2018,4,vizianagaram district,1386787,18176.73
andhra-pradesh,2018,4,visakhapatnam district,4791421,73666.36
andhra-pradesh,2018,4,prakasam district,1692862,32552.54
andhra-pradesh,2018,4,anantapur district,2286391,39758.78
andhra-pradesh,2018,4,ysr district,1732527,32523.4
andhra-pradesh,2018,4,west godavari district,1688482,32375.04
andhra-pradesh,2018,4,kurnool district,2508530,36265.45
andhra-pradesh,2018,4,chittoor district,3166201,49790.94
andhra-pradesh,2018,4,guntur district,2546620,47302.51
andhra-pradesh,2018,4,krishna district,2839161,54162.52
andhra-pradesh,2019,1,east godavari district,5440146,73822.65
andhra-pradesh,2019,1,srikakulam district,2526855,34079.13
andhra-pradesh,2019,1,spsr nellore district,3333584,51619.32
andhra-pradesh,2019,1,vizianagaram district,2798241,33645.77
andhra-pradesh,2019,1,visakhapatnam district,9690866,134598.57
andhra-pradesh,2019,1,prakasam district,2931081,48075.28
andhra-pradesh,2019,1,anantapur district,3891336,60447.31
andhra-pradesh,2019,1,ysr district,2852197,49158.12
andhra-pradesh,2019,1,west godavari district,2829437,46237.64
andhra-pradesh,2019,1,kurnool district,4193432,55415.65
andhra-pradesh,2019,1,chittoor district,6486813,82233.72
andhra-pradesh,2019,1,guntur district,4846553,77659.34
andhra-pradesh,2019,1,krishna district,5443981,90613.46
andhra-pradesh,2019,2,east godavari district,4699261,91164.05
andhra-pradesh,2019,2,srikakulam district,2019203,40665.77
andhra-pradesh,2019,2,spsr nellore district,3141891,68808.73
andhra-pradesh,2019,2,vizianagaram district,2272320,44430.42
andhra-pradesh,2019,2,visakhapatnam district,11705738,207974.8
andhra-pradesh,2019,2,prakasam district,2670529,62623.96
andhra-pradesh,2019,2,anantapur district,3578836,78307.82
andhra-pradesh,2019,2,ysr district,2606284,63768.57
andhra-pradesh,2019,2,west godavari district,2402074,56768.18
andhra-pradesh,2019,2,kurnool district,3895824,73582.85
andhra-pradesh,2019,2,chittoor district,5983308,109827.28
andhra-pradesh,2019,2,guntur district,5005275,104052.47
andhra-pradesh,2019,2,krishna district,6428472,134370.29
andhra-pradesh,2019,3,east godavari district,6537303,113877.26
andhra-pradesh,2019,3,srikakulam district,2556296,46101.31
andhra-pradesh,2019,3,spsr nellore district,4150195,82566.0
andhra-pradesh,2019,3,vizianagaram district,2861581,49220.69
andhra-pradesh,2019,3,visakhapatnam district,16694947,269448.37
andhra-pradesh,2019,3,prakasam district,3430750,73545.02
andhra-pradesh,2019,3,anantapur district,4889720,95540.81
andhra-pradesh,2019,3,ysr district,3296586,74475.44
andhra-pradesh,2019,3,west godavari district,3179541,66276.29
andhra-pradesh,2019,3,kurnool district,5139134,90256.33
andhra-pradesh,2019,3,chittoor district,8201783,138374.56
andhra-pradesh,2019,3,guntur district,6942304,130756.61
andhra-pradesh,2019,3,krishna district,8408474,164040.74
andhra-pradesh,2019,4,east godavari district,9285739,168167.74
andhra-pradesh,2019,4,srikakulam district,3712555,68323.69
andhra-pradesh,2019,4,spsr nellore district,5877804,117860.14
andhra-pradesh,2019,4,vizianagaram district,3998234,71758.52
andhra-pradesh,2019,4,visakhapatnam district,23594874,391332.96
andhra-pradesh,2019,4,prakasam district,4865473,106040.78
andhra-pradesh,2019,4,anantapur district,6764112,138872.49
andhra-pradesh,2019,4,ysr district,4793157,108650.74
andhra-pradesh,2019,4,west godavari district,4596479,97106.15
andhra-pradesh,2019,4,kurnool district,7001958,132331.06
andhra-pradesh,2019,4,chittoor district,11246986,192984.76
andhra-pradesh,2019,4,guntur district,9761330,185656.26
andhra-pradesh,2019,4,krishna district,11719402,230397.86
andhra-pradesh,2020,1,east godavari district,11346242,218547.01
andhra-pradesh,2020,1,srikakulam district,4835092,97775.76
andhra-pradesh,2020,1,spsr nellore district,7430247,153878.3
andhra-pradesh,2020,1,vizianagaram district,5042066,98791.74
andhra-pradesh,2020,1,visakhapatnam district,27115031,488097.48
andhra-pradesh,2020,1,prakasam district,6318396,141691.05
andhra-pradesh,2020,1,anantapur district,8466129,178643.26
andhra-pradesh,2020,1,ysr district,6031255,140599.25
andhra-pradesh,2020,1,west godavari district,5919670,129958.34
andhra-pradesh,2020,1,kurnool district,8246869,170227.1
andhra-pradesh,2020,1,chittoor district,13257740,234418.49
andhra-pradesh,2020,1,guntur district,11493331,229927.35
andhra-pradesh,2020,1,krishna district,12175289,244817.03
andhra-pradesh,2020,2,east godavari district,13130334,263199.06
andhra-pradesh,2020,2,srikakulam district,6425515,121536.5
andhra-pradesh,2020,2,spsr nellore district,9454274,206653.76
andhra-pradesh,2020,2,vizianagaram district,6690313,128193.44
andhra-pradesh,2020,2,visakhapatnam district,25300401,482938.9
andhra-pradesh,2020,2,prakasam district,8844580,198460.27
andhra-pradesh,2020,2,anantapur district,10473739,220940.07
andhra-pradesh,2020,2,ysr district,8033609,195972.07
andhra-pradesh,2020,2,west godavari district,7273096,165858.67
andhra-pradesh,2020,2,kurnool district,9821381,224193.72
andhra-pradesh,2020,2,chittoor district,14848197,273613.0
andhra-pradesh,2020,2,guntur district,12308707,274635.94
andhra-pradesh,2020,2,krishna district,12313709,269641.49
andhra-pradesh,2020,3,east godavari district,17972431,393000.44
andhra-pradesh,2020,3,srikakulam district,8286289,180295.75
andhra-pradesh,2020,3,spsr nellore district,16468209,391283.25
andhra-pradesh,2020,3,vizianagaram district,8236703,175678.17
andhra-pradesh,2020,3,visakhapatnam district,34421299,676284.4
andhra-pradesh,2020,3,prakasam district,12266310,312217.05
andhra-pradesh,2020,3,anantapur district,14447683,341020.38
andhra-pradesh,2020,3,ysr district,11934653,320370.07
andhra-pradesh,2020,3,west godavari district,10412351,254086.09
andhra-pradesh,2020,3,kurnool district,13243292,325293.51
andhra-pradesh,2020,3,chittoor district,20501863,428115.66
andhra-pradesh,2020,3,guntur district,17601395,425311.96
andhra-pradesh,2020,3,krishna district,19110457,447884.59
andhra-pradesh,2020,4,east godavari district,25989490,587326.16
andhra-pradesh,2020,4,srikakulam district,11092184,252225.2
andhra-pradesh,2020,4,spsr nellore district,20934374,491154.44
andhra-pradesh,2020,4,vizianagaram district,10580824,240948.48
andhra-pradesh,2020,4,visakhapatnam district,46551467,918798.23
andhra-pradesh,2020,4,prakasam district,16176867,418524.43
andhra-pradesh,2020,4,anantapur district,20996384,497326.11
andhra-pradesh,2020,4,ysr district,15676878,425729.75
andhra-pradesh,2020,4,west godavari district,15674762,403109.76
andhra-pradesh,2020,4,kurnool district,18737323,447182.03
andhra-pradesh,2020,4,chittoor district,29590411,615057.11
andhra-pradesh,2020,4,guntur district,26136538,606418.72
andhra-pradesh,2020,4,krishna district,27981050,644615.05
andhra-pradesh,2021,1,east godavari district,26190701,600279.85
andhra-pradesh,2021,1,srikakulam district,11160473,264866.23
andhra-pradesh,2021,1,spsr nellore district,22541428,522103.33
andhra-pradesh,2021,1,vizianagaram district,10514582,241537.82
andhra-pradesh,2021,1,visakhapatnam district,48248923,953083.86
andhra-pradesh,2021,1,prakasam district,15175395,413962.24
andhra-pradesh,2021,1,anantapur district,20102957,483538.7
andhra-pradesh,2021,1,ysr district,15374473,425709.19
andhra-pradesh,2021,1,west godavari district,16015685,421240.31
andhra-pradesh,2021,1,kurnool district,17918524,449416.3
andhra-pradesh,2021,1,chittoor district,29342609,609474.92
andhra-pradesh,2021,1,guntur district,27445045,642079.88
andhra-pradesh,2021,1,krishna district,29717175,697154.07
andhra-pradesh,2021,2,east godavari district,31717908,746043.26
andhra-pradesh,2021,2,srikakulam district,13546232,322981.3
andhra-pradesh,2021,2,spsr nellore district,30290406,722830.72
andhra-pradesh,2021,2,vizianagaram district,12689494,291406.85
andhra-pradesh,2021,2,visakhapatnam district,54390299,1144390.13
andhra-pradesh,2021,2,prakasam district,19944047,545353.28
andhra-pradesh,2021,2,anantapur district,25123346,609874.88
andhra-pradesh,2021,2,ysr district,18457361,525235.27
andhra-pradesh,2021,2,west godavari district,20950964,572331.16
andhra-pradesh,2021,2,kurnool district,21972396,566592.87
andhra-pradesh,2021,2,chittoor district,34344902,736546.9
andhra-pradesh,2021,2,guntur district,32968819,823569.14
andhra-pradesh,2021,2,krishna district,36370960,900219.23
