State,Year,Quarter,District,Count,Amount
assam,2018,3,chirang district,18743,337.23
assam,2018,3,cachar district,123735,1896.12
assam,2018,3,nalbari district,41038,539.72
assam,2018,3,west karbi anglong district,4995,49.26
assam,2018,3,dhemaji district,40083,666.47
assam,2018,3,karimganj district,44660,615.63
assam,2018,3,bongaigaon district,50508,824.38
assam,2018,3,dima hasao district,12952,218.21
assam,2018,3,baksa district,50043,780.81
assam,2018,3,charaideo district,28439,379.88
assam,2018,3,darrang district,51560,660.5
assam,2018,3,kamrup metropolitan district,476050,8841.21
assam,2018,3,hailakandi district,29372,418.36
assam,2018,3,barpeta district,145945,2301.25
assam,2018,3,goalpara district,57019,887.73
assam,2018,3,biswanath district,36071,499.1
assam,2018,3,jorhat district,79724,1180.08
assam,2018,4,tinsukia district,127171,2537.19
assam,2018,4,lakhimpur district,76772,1046.89
assam,2018,4,kamrup district,162592,2360.88
assam,2018,4,kokrajhar district,54606,1230.41
assam,2018,4,karbi anglong district,53526,990.19
assam,2018,4,sivasagar district,64113,991.42
assam,2018,4,dibrugarh district,144931,2643.47
assam,2018,4,south salmara mancachar district,26334,411.7
assam,2018,4,nagaon district,435103,3179.73
assam,2018,4,dhubri district,120810,1816.51
assam,2018,4,golaghat district,79500,1267.13
assam,2018,4,udalguri district,51801,908.36
assam,2018,4,majuli district,16498,133.48
assam,2018,4,sonitpur district,165399,3585.5
assam,2018,4,hojai district,53523,853.92
assam,2018,4,marigaon district,193075,2078.54
assam,2018,4,chirang district,26846,516.47
assam,2018,4,cachar district,187360,2723.42
assam,2018,4,nalbari district,61931,834.92
assam,2018,4,west karbi anglong district,8729,99.86
assam,2018,4,dhemaji district,62268,1099.06
assam,2018,4,karimganj district,62738,1062.0
assam,2018,4,bongaigaon district,84239,1303.69
assam,2018,4,dima hasao district,19051,414.36
assam,2018,4,baksa district,66602,1145.84
assam,2018,4,charaideo district,41777,639.8
assam,2018,4,darrang district,67909,1094.35
assam,2018,4,kamrup metropolitan district,686010,13454.51
assam,2018,4,hailakandi district,43026,669.48
assam,2018,4,barpeta district,225449,3546.75
assam,2018,4,goalpara district,101776,1717.65
assam,2018,4,biswanath district,52514,777.5
assam,2018,4,jorhat district,110193,1745.24
assam,2019,1,tinsukia district,147896,2960.16
assam,2019,1,lakhimpur district,84448,1352.17
assam,2019,1,kamrup district,205094,3253.87
assam,2019,1,kokrajhar district,60413,1332.13
assam,2019,1,karbi anglong district,62301,1277.17
assam,2019,1,sivasagar district,73524,1260.28
assam,2019,1,dibrugarh district,180303,3085.2
assam,2019,1,south salmara mancachar district,36980,563.76
assam,2019,1,nagaon district,265767,3829.87
assam,2019,1,dhubri district,129363,1688.33
assam,2019,1,golaghat district,87815,1507.0
assam,2019,1,udalguri district,57339,1033.44
assam,2019,1,majuli district,15485,176.17
assam,2019,1,sonitpur district,197716,4098.12
assam,2019,1,hojai district,61983,1117.15
assam,2019,1,marigaon district,162645,2258.92
assam,2019,1,chirang district,32379,575.4
assam,2019,1,cachar district,206705,3356.75
assam,2019,1,nalbari district,70290,945.33
assam,2019,1,west karbi anglong district,11141,123.68
assam,2019,1,dhemaji district,69519,1349.56
assam,2019,1,karimganj district,76238,1407.51
assam,2019,1,bongaigaon district,91061,1384.79
assam,2019,1,dima hasao district,26119,513.18
assam,2019,1,baksa district,75377,1476.48
assam,2019,1,charaideo district,49174,754.57
assam,2019,1,darrang district,76056,1373.92
assam,2019,1,kamrup metropolitan district,1306775,26053.8
assam,2019,1,hailakandi district,51401,763.19
assam,2019,1,barpeta district,262834,4169.78
assam,2019,1,goalpara district,113947,1917.45
assam,2019,1,biswanath district,59752,911.44
assam,2019,1,jorhat district,125165,2150.41
assam,2019,2,tinsukia district,148294,3233.03
assam,2019,2,lakhimpur district,88545,1545.37
assam,2019,2,kamrup district,176995,3347.25
assam,2019,2,kokrajhar district,58445,1361.21
assam,2019,2,karbi anglong district,62877,1501.15
assam,2019,2,sivasagar district,74192,1349.82
assam,2019,2,dibrugarh district,169357,3565.25
assam,2019,2,south salmara mancachar district,32449,698.77
assam,2019,2,nagaon district,231423,4227.75
assam,2019,2,dhubri district,101070,2012.03
assam,2019,2,golaghat district,89403,1575.12
assam,2019,2,udalguri district,51326,1089.12
assam,2019,2,majuli district,13800,178.26
assam,2019,2,sonitpur district,192707,4443.37
assam,2019,2,hojai district,63598,1250.16
assam,2019,2,marigaon district,130459,2353.43
assam,2019,2,chirang district,31621,657.47
assam,2019,2,cachar district,177976,3351.26
assam,2019,2,nalbari district,64729,1082.68
assam,2019,2,west karbi anglong district,10260,153.73
assam,2019,2,dhemaji district,66560,1503.07
assam,2019,2,karimganj district,70635,1444.05
assam,2019,2,bongaigaon district,80689,1556.43
assam,2019,2,dima hasao district,28118,573.0
assam,2019,2,baksa district,70162,1500.2
assam,2019,2,charaideo district,45010,850.62
assam,2019,2,darrang district,70387,1408.7
assam,2019,2,kamrup metropolitan district,2488968,50896.58
assam,2019,2,hailakandi district,47321,798.46
assam,2019,2,barpeta district,228864,4667.86
assam,2019,2,goalpara district,97473,2016.43
assam,2019,2,biswanath district,61472,1039.3
assam,2019,2,jorhat district,129744,2318.78
assam,2019,3,tinsukia district,196245,3570.09
assam,2019,3,lakhimpur district,115808,1827.45
assam,2019,3,kamrup district,222439,3838.84
assam,2019,3,kokrajhar district,77004,1537.87
assam,2019,3,karbi anglong district,83280,1734.11
assam,2019,3,sivasagar district,101503,1605.05
assam,2019,3,dibrugarh district,230118,4250.77
assam,2019,3,south salmara mancachar district,32727,725.92
assam,2019,3,nagaon district,258566,4915.51
assam,2019,3,dhubri district,115968,2355.04
assam,2019,3,golaghat district,121795,1947.79
assam,2019,3,udalguri district,69169,1334.41
assam,2019,3,majuli district,19170,222.41
assam,2019,3,sonitpur district,257623,5332.89
assam,2019,3,hojai district,84120,1545.05
assam,2019,3,marigaon district,116364,2426.27
assam,2019,3,chirang district,45161,878.09
assam,2019,3,cachar district,242781,4265.03
assam,2019,3,nalbari district,82814,1330.52
assam,2019,3,west karbi anglong district,14546,177.54
assam,2019,3,dhemaji district,90986,1715.88
assam,2019,3,karimganj district,96450,1677.57
assam,2019,3,bongaigaon district,104703,1840.21
assam,2019,3,dima hasao district,41878,806.5
assam,2019,3,baksa district,92868,1751.22
assam,2019,3,charaideo district,59490,1034.41
assam,2019,3,darrang district,90156,1718.91
assam,2019,3,kamrup metropolitan district,2188998,60809.99
assam,2019,3,hailakandi district,62134,957.53
assam,2019,3,barpeta district,262253,5052.42
assam,2019,3,goalpara district,119928,2343.06
assam,2019,3,biswanath district,78058,1232.78
assam,2019,3,jorhat district,167468,2743.29
assam,2019,4,tinsukia district,224113,4236.85
assam,2019,4,lakhimpur district,129734,2119.79
assam,2019,4,kamrup district,249708,4615.59
assam,2019,4,kokrajhar district,90371,1985.48
assam,2019,4,karbi anglong district,95122,2149.07
assam,2019,4,sivasagar district,112099,1920.1
assam,2019,4,dibrugarh district,255885,4703.9
assam,2019,4,south salmara mancachar district,39935,919.96
assam,2019,4,nagaon district,287586,5461.85
assam,2019,4,dhubri district,134357,2846.12
assam,2019,4,golaghat district,138710,2380.1
assam,2019,4,udalguri district,77332,1547.05
assam,2019,4,majuli district,20488,269.29
assam,2019,4,sonitpur district,298139,6134.62
assam,2019,4,hojai district,95246,1756.08
assam,2019,4,marigaon district,132919,2639.28
assam,2019,4,chirang district,51791,1010.22
assam,2019,4,cachar district,273506,4821.98
assam,2019,4,nalbari district,95723,1566.53
assam,2019,4,west karbi anglong district,17914,254.61
assam,2019,4,dhemaji district,103033,1974.97
assam,2019,4,karimganj district,108697,1949.19
assam,2019,4,bongaigaon district,119397,2359.64
assam,2019,4,dima hasao district,45414,934.63
assam,2019,4,baksa district,106632,2212.22
assam,2019,4,charaideo district,70323,1255.82
assam,2019,4,darrang district,98623,2011.44
assam,2019,4,kamrup metropolitan district,2510384,72061.66
assam,2019,4,hailakandi district,67877,1172.86
assam,2019,4,barpeta district,295624,6134.8
assam,2019,4,goalpara district,139662,2820.04
assam,2019,4,biswanath district,88764,1517.11
assam,2019,4,jorhat district,185402,3077.0
assam,2020,1,tinsukia district,286640,5417.59
assam,2020,1,lakhimpur district,170709,2754.31
assam,2020,1,kamrup district,322830,6055.39
assam,2020,1,kokrajhar district,114668,2484.08
assam,2020,1,karbi anglong district,113535,2171.32
assam,2020,1,sivasagar district,145386,2554.28
assam,2020,1,dibrugarh district,317878,5853.27
assam,2020,1,south salmara mancachar district,53050,1316.06
assam,2020,1,nagaon district,360749,7362.3
assam,2020,1,dhubri district,171651,3963.8
assam,2020,1,golaghat district,179380,3013.35
assam,2020,1,udalguri district,102667,1913.88
assam,2020,1,majuli district,25164,351.32
assam,2020,1,sonitpur district,383179,7555.09
assam,2020,1,hojai district,116561,2343.66
assam,2020,1,marigaon district,178906,3657.89
assam,2020,1,chirang district,69572,1294.58
assam,2020,1,cachar district,375774,6597.02
assam,2020,1,nalbari district,123597,2042.37
assam,2020,1,west karbi anglong district,24370,344.25
assam,2020,1,dhemaji district,132751,2610.48
assam,2020,1,karimganj district,149784,3003.37
assam,2020,1,bongaigaon district,154338,3081.82
assam,2020,1,dima hasao district,57312,1132.54
assam,2020,1,baksa district,139164,2864.88
assam,2020,1,charaideo district,88911,1665.05
assam,2020,1,darrang district,130156,2824.49
assam,2020,1,kamrup metropolitan district,3338601,100805.48
assam,2020,1,hailakandi district,94255,1787.6
assam,2020,1,barpeta district,367963,8330.79
assam,2020,1,goalpara district,178776,3999.4
assam,2020,1,biswanath district,108475,1821.86
assam,2020,1,jorhat district,232108,3710.73
assam,2020,2,tinsukia district,420620,6180.21
assam,2020,2,lakhimpur district,272571,3509.9
assam,2020,2,kamrup district,461735,6963.78
assam,2020,2,kokrajhar district,172597,3082.99
assam,2020,2,karbi anglong district,183647,2925.86
assam,2020,2,sivasagar district,220014,2867.19
assam,2020,2,dibrugarh district,447580,6784.92
assam,2020,2,south salmara mancachar district,83003,1966.72
assam,2020,2,nagaon district,521404,8895.93
assam,2020,2,dhubri district,279128,4583.6
assam,2020,2,golaghat district,290221,3814.87
assam,2020,2,udalguri district,166432,2688.57
assam,2020,2,majuli district,40396,516.75
assam,2020,2,sonitpur district,510820,8994.03
assam,2020,2,hojai district,172987,2852.98
assam,2020,2,marigaon district,240281,4296.9
assam,2020,2,chirang district,112936,1667.7
assam,2020,2,cachar district,448258,6713.25
assam,2020,2,nalbari district,198498,2541.16
assam,2020,2,west karbi anglong district,42806,492.57
assam,2020,2,dhemaji district,205941,3283.31
assam,2020,2,karimganj district,219675,3483.07
assam,2020,2,bongaigaon district,215359,3393.32
assam,2020,2,dima hasao district,90255,1433.72
assam,2020,2,baksa district,220877,3634.94
assam,2020,2,charaideo district,132136,1874.06
assam,2020,2,darrang district,191116,3349.36
assam,2020,2,kamrup metropolitan district,2543890,71902.15
assam,2020,2,hailakandi district,145539,2140.92
assam,2020,2,barpeta district,519590,9675.13
assam,2020,2,goalpara district,261762,4851.19
assam,2020,2,biswanath district,166278,2235.05
assam,2020,2,jorhat district,306847,4066.9
assam,2020,3,tinsukia district,442335,8394.12
assam,2020,3,lakhimpur district,258450,4319.17
assam,2020,3,kamrup district,445726,8786.47
assam,2020,3,kokrajhar district,169456,3548.73
assam,2020,3,karbi anglong district,186352,3775.59
assam,2020,3,sivasagar district,213330,3753.82
assam,2020,3,dibrugarh district,526945,11064.87
assam,2020,3,south salmara mancachar district,76074,2033.18
assam,2020,3,nagaon district,535675,11539.26
assam,2020,3,dhubri district,265528,5745.94
assam,2020,3,golaghat district,278714,4848.85
assam,2020,3,udalguri district,154549,3120.74
assam,2020,3,majuli district,39125,561.24
assam,2020,3,sonitpur district,540972,11645.86
assam,2020,3,hojai district,175557,3556.29
assam,2020,3,marigaon district,230540,5121.19
assam,2020,3,chirang district,102868,1922.41
assam,2020,3,cachar district,487493,9202.8
assam,2020,3,nalbari district,175078,3058.2
assam,2020,3,west karbi anglong district,40408,631.96
assam,2020,3,dhemaji district,206214,4114.42
assam,2020,3,karimganj district,249302,5049.24
assam,2020,3,bongaigaon district,227984,4761.47
assam,2020,3,dima hasao district,93676,1804.72
assam,2020,3,baksa district,208297,4426.22
assam,2020,3,charaideo district,130863,2443.9
assam,2020,3,darrang district,188334,4556.92
assam,2020,3,kamrup metropolitan district,4268591,133460.89
assam,2020,3,hailakandi district,161126,2943.43
assam,2020,3,barpeta district,553783,13063.56
assam,2020,3,goalpara district,277508,6304.87
assam,2020,3,biswanath district,171570,3325.71
assam,2020,3,jorhat district,315288,5427.88
assam,2020,4,tinsukia district,543941,12097.37
assam,2020,4,lakhimpur district,304251,6207.09
assam,2020,4,kamrup district,557203,12710.39
assam,2020,4,kokrajhar district,209653,5225.75
assam,2020,4,karbi anglong district,229991,5485.23
assam,2020,4,sivasagar district,259736,5610.03
assam,2020,4,dibrugarh district,631601,14791.67
assam,2020,4,south salmara mancachar district,111015,3383.06
assam,2020,4,nagaon district,667880,16650.22
assam,2020,4,dhubri district,337623,8743.22
assam,2020,4,golaghat district,337771,6877.57
assam,2020,4,udalguri district,181878,4153.03
assam,2020,4,majuli district,43480,694.36
assam,2020,4,sonitpur district,676306,15609.23
assam,2020,4,hojai district,224628,5289.26
assam,2020,4,marigaon district,277304,7363.27
assam,2020,4,chirang district,121011,2816.88
assam,2020,4,cachar district,623731,14347.67
assam,2020,4,nalbari district,210966,4647.82
assam,2020,4,west karbi anglong district,44259,806.18
assam,2020,4,dhemaji district,250452,5674.7
assam,2020,4,karimganj district,309172,7546.62
assam,2020,4,bongaigaon district,301859,7240.47
assam,2020,4,dima hasao district,110429,2621.66
assam,2020,4,baksa district,253333,6441.08
assam,2020,4,charaideo district,152117,3561.82
assam,2020,4,darrang district,239602,6821.67
assam,2020,4,kamrup metropolitan district,5300547,161059.23
assam,2020,4,hailakandi district,189140,4190.18
assam,2020,4,barpeta district,724763,20533.62
assam,2020,4,goalpara district,381733,10181.65
assam,2020,4,biswanath district,215627,4727.33
assam,2020,4,jorhat district,400452,8156.77
assam,2021,1,tinsukia district,480161,11604.3
assam,2021,1,lakhimpur district,278213,6696.15
assam,2021,1,kamrup district,557802,14506.63
assam,2021,1,kokrajhar district,228889,6279.9
assam,2021,1,karbi anglong district,217934,6085.29
assam,2021,1,sivasagar district,242611,6023.51
assam,2021,1,dibrugarh district,680608,17105.71
assam,2021,1,south salmara mancachar district,134708,4773.52
assam,2021,1,nagaon district,675634,20199.26
assam,2021,1,dhubri district,362613,10358.61
assam,2021,1,golaghat district,311238,7490.87
assam,2021,1,udalguri district,173233,4513.05
assam,2021,1,majuli district,34915,743.58
assam,2021,1,sonitpur district,669242,16893.7
assam,2021,1,hojai district,220269,5914.19
assam,2021,1,marigaon district,298011,9187.6
assam,2021,1,chirang district,127192,3213.19
assam,2021,1,cachar district,614703,15775.82
assam,2021,1,nalbari district,197323,5063.78
assam,2021,1,west karbi anglong district,41137,848.87
assam,2021,1,dhemaji district,231336,6152.1
assam,2021,1,karimganj district,304173,9161.86
assam,2021,1,bongaigaon district,321020,8749.97
assam,2021,1,dima hasao district,104846,2838.22
assam,2021,1,baksa district,260583,7649.21
assam,2021,1,charaideo district,138143,3808.69
assam,2021,1,darrang district,259665,7578.26
assam,2021,1,kamrup metropolitan district,9400818,240037.17
assam,2021,1,hailakandi district,189886,5159.05
assam,2021,1,barpeta district,768249,23789.52
assam,2021,1,goalpara district,400249,12036.01
assam,2021,1,biswanath district,197774,4463.01
assam,2021,1,jorhat district,388882,8564.05
assam,2021,2,tinsukia district,606143,13185.34
assam,2021,2,lakhimpur district,361975,7510.22
assam,2021,2,kamrup district,737877,16869.27
assam,2021,2,kokrajhar district,291109,7604.67
assam,2021,2,karbi anglong district,275847,6641.32
assam,2021,2,sivasagar district,303100,6358.98
assam,2021,2,dibrugarh district,870918,19761.54
assam,2021,2,south salmara mancachar district,213176,7024.85
assam,2021,2,nagaon district,928187,24469.53
assam,2021,2,dhubri district,528440,13167.09
assam,2021,2,golaghat district,382567,8282.66
assam,2021,2,udalguri district,229956,5357.12
assam,2021,2,majuli district,44407,853.66
assam,2021,2,sonitpur district,848080,19290.14
assam,2021,2,hojai district,285880,7175.53
assam,2021,2,marigaon district,452067,12130.04
assam,2021,2,chirang district,173228,4167.05
assam,2021,2,cachar district,743120,16800.51
assam,2021,2,nalbari district,265787,6149.27
assam,2021,2,west karbi anglong district,51169,933.22
assam,2021,2,dhemaji district,299375,7074.4
assam,2021,2,karimganj district,376322,10086.36
assam,2021,2,bongaigaon district,445957,11070.76
assam,2021,2,dima hasao district,127333,2914.45
assam,2021,2,baksa district,333425,8747.34
assam,2021,2,charaideo district,169721,4063.69
assam,2021,2,darrang district,373027,9917.19
assam,2021,2,kamrup metropolitan district,12113618,269489.06
assam,2021,2,hailakandi district,258553,6221.03
assam,2021,2,barpeta district,1094358,29275.47
assam,2021,2,goalpara district,544911,14756.03
assam,2021,2,biswanath district,255222,5463.36
assam,2021,2,jorhat district,448050,9113.59
assam,2021,3,tinsukia district,726497,16201.17
assam,2021,3,lakhimpur district,433255,9307.38
assam,2021,3,kamrup district,957373,21122.76
assam,2021,3,kokrajhar district,366661,9660.62
assam,2021,3,karbi anglong district,338533,8282.51
assam,2021,3,sivasagar district,350815,7334.5
assam,2021,3,dibrugarh district,1116075,25177.12
assam,2021,3,south salmara mancachar district,245208,6827.72
assam,2021,3,nagaon district,1156024,29032.15
assam,2021,3,dhubri district,668723,16824.48
assam,2021,3,golaghat district,446587,9650.97
assam,2021,3,udalguri district,291168,6576.61
assam,2021,3,majuli district,51208,1020.34
assam,2021,3,sonitpur district,1030160,23856.66
assam,2021,3,hojai district,368350,8741.85
assam,2021,3,marigaon district,554657,14704.86
assam,2021,3,chirang district,220676,5285.39
assam,2021,3,cachar district,998685,22852.49
assam,2021,3,nalbari district,318284,7221.1
assam,2021,3,west karbi anglong district,57137,1125.23
assam,2021,3,dhemaji district,359737,8485.44
assam,2021,3,karimganj district,524239,13936.49
assam,2021,3,bongaigaon district,548175,13312.28
assam,2021,3,dima hasao district,149975,3533.51
assam,2021,3,baksa district,418859,10743.25
assam,2021,3,charaideo district,201059,4793.92
assam,2021,3,darrang district,498938,12412.35
assam,2021,3,kamrup metropolitan district,16840668,361230.83
assam,2021,3,hailakandi district,360281,8014.49
assam,2021,3,barpeta district,1436928,35224.33
assam,2021,3,goalpara district,650085,17472.57
assam,2021,3,biswanath district,288131,6202.04
assam,2021,3,jorhat district,531290,10837.59
assam,2021,4,tinsukia district,924326,20996.65
assam,2021,4,lakhimpur district,560279,12637.23
assam,2021,4,kamrup district,1326629,29068.28
assam,2021,4,kokrajhar district,529425,13920.52
assam,2021,4,karbi anglong district,448701,11578.96
assam,2021,4,sivasagar district,452511,9918.41
assam,2021,4,dibrugarh district,1489321,32472.3
assam,2021,4,south salmara mancachar district,314595,9191.74
assam,2021,4,nagaon district,1599255,41815.53
assam,2021,4,dhubri district,947815,24529.71
assam,2021,4,golaghat district,597064,13375.76
assam,2021,4,udalguri district,406086,9176.81
assam,2021,4,majuli district,65312,1290.28
assam,2021,4,sonitpur district,1437714,31199.48
assam,2021,4,hojai district,527676,12470.22
assam,2021,4,marigaon district,846244,23724.41
assam,2021,4,chirang district,298090,7516.02
assam,2021,4,cachar district,1424029,32884.05
assam,2021,4,nalbari district,437199,10151.84
assam,2021,4,west karbi anglong district,72436,1553.35
assam,2021,4,dhemaji district,450526,10980.25
assam,2021,4,karimganj district,719693,20110.84
assam,2021,4,bongaigaon district,760610,19006.09
assam,2021,4,dima hasao district,188499,4610.01
assam,2021,4,baksa district,575080,15303.57
assam,2021,4,charaideo district,255415,6575.28
assam,2021,4,darrang district,772608,20127.23
assam,2021,4,kamrup metropolitan district,22903930,481779.19
assam,2021,4,hailakandi district,494043,11311.82
assam,2021,4,barpeta district,2145496,53416.26
assam,2021,4,goalpara district,920783,25904.33
assam,2021,4,biswanath district,368466,8372.98
assam,2021,4,jorhat district,760505,14880.25
assam,2022,1,tinsukia district,1110108,24719.91
assam,2022,1,lakhimpur district,725851,16538.72
assam,2022,1,kamrup district,1708845,38380.19
assam,2022,1,kokrajhar district,703834,17949.16
assam,2022,1,karbi anglong district,576671,14805.34
assam,2022,1,sivasagar district,570136,12010.1
assam,2022,1,dibrugarh district,1830668,37214.25
assam,2022,1,south salmara mancachar district,424292,13576.61
assam,2022,1,nagaon district,2049272,54054.9
assam,2022,1,dhubri district,1247298,33802.05
assam,2022,1,golaghat district,753488,16817.47
assam,2022,1,udalguri district,547716,11683.01
assam,2022,1,majuli district,89346,1728.37
assam,2022,1,sonitpur district,1805856,36519.41
assam,2022,1,hojai district,665166,15950.56
assam,2022,1,marigaon district,1027786,27901.38
assam,2022,1,chirang district,363645,9513.03
assam,2022,1,cachar district,1869862,42253.05
assam,2022,1,nalbari district,571467,13692.85
assam,2022,1,west karbi anglong district,88219,1869.02
assam,2022,1,dhemaji district,562489,13692.39
assam,2022,1,karimganj district,962907,27596.78
assam,2022,1,bongaigaon district,1014501,26619.81
assam,2022,1,dima hasao district,216314,5099.44
assam,2022,1,baksa district,731895,19440.07
assam,2022,1,charaideo district,311136,7420.59
assam,2022,1,darrang district,1205741,27321.73
assam,2022,1,kamrup metropolitan district,28908435,600937.47
assam,2022,1,hailakandi district,652625,14767.7
assam,2022,1,barpeta district,2846523,74136.12
assam,2022,1,goalpara district,1299073,37203.8
assam,2022,1,biswanath district,470228,9907.86
assam,2022,1,jorhat district,978493,17681.23
assam,2022,2,tinsukia district,1393042,28643.42
assam,2022,2,lakhimpur district,949594,19491.81
assam,2022,2,kamrup district,2122755,42476.51
assam,2022,2,kokrajhar district,941658,21345.93
assam,2022,2,karbi anglong district,663418,15960.22
assam,2022,2,sivasagar district,694978,12924.19
assam,2022,2,dibrugarh district,2372318,44265.57
assam,2022,2,south salmara mancachar district,532090,15184.18
assam,2022,2,nagaon district,2624899,64016.29
assam,2022,2,dhubri district,1748061,40958.43
assam,2022,2,golaghat district,928135,18709.05
assam,2022,2,udalguri district,731430,13744.05
assam,2022,2,majuli district,105899,1926.14
assam,2022,2,sonitpur district,2331103,42287.03
assam,2022,2,hojai district,832316,18853.47
assam,2022,2,marigaon district,1362294,31952.68
assam,2022,2,chirang district,483371,11428.2
assam,2022,2,cachar district,2208886,43909.76
assam,2022,2,nalbari district,711088,15470.57
assam,2022,2,west karbi anglong district,98911,2089.34
assam,2022,2,dhemaji district,698448,15328.78
assam,2022,2,karimganj district,1164306,28860.07
assam,2022,2,bongaigaon district,1380703,32420.59
assam,2022,2,dima hasao district,228456,5457.16
assam,2022,2,baksa district,905373,21320.96
assam,2022,2,charaideo district,382915,8123.57
assam,2022,2,darrang district,1764727,32277.01
assam,2022,2,kamrup metropolitan district,37896005,705153.47
assam,2022,2,hailakandi district,787208,15714.36
assam,2022,2,barpeta district,3782074,85979.21
assam,2022,2,goalpara district,1660385,42416.27
assam,2022,2,biswanath district,604714,12215.48
assam,2022,2,jorhat district,1243165,20206.64
assam,2022,3,tinsukia district,1596815,30422.51
assam,2022,3,lakhimpur district,1107100,20670.94
assam,2022,3,kamrup district,2430234,46145.92
assam,2022,3,kokrajhar district,1067899,22843.76
assam,2022,3,karbi anglong district,859889,18283.36
assam,2022,3,sivasagar district,747403,13140.02
assam,2022,3,dibrugarh district,2307181,39336.28
assam,2022,3,south salmara mancachar district,605276,14846.69
assam,2022,3,nagaon district,2968058,65581.07
assam,2022,3,dhubri district,2223747,45563.85
assam,2022,3,golaghat district,1053657,20345.2
assam,2022,3,udalguri district,863753,15791.57
assam,2022,3,majuli district,134355,2256.91
assam,2022,3,sonitpur district,3096898,54103.47
assam,2022,3,hojai district,1043820,21134.84
assam,2022,3,marigaon district,1489205,32384.57
assam,2022,3,chirang district,715691,15372.99
assam,2022,3,cachar district,2665315,51924.49
assam,2022,3,nalbari district,794013,16488.78
assam,2022,3,west karbi anglong district,109757,2054.73
assam,2022,3,dhemaji district,772797,15156.54
assam,2022,3,karimganj district,1334451,31781.34
assam,2022,3,bongaigaon district,1668882,34799.85
assam,2022,3,dima hasao district,288848,6785.21
assam,2022,3,baksa district,994859,21498.45
assam,2022,3,charaideo district,653536,12674.59
assam,2022,3,darrang district,1805090,32332.14
assam,2022,3,kamrup metropolitan district,39606017,694108.6
assam,2022,3,hailakandi district,1560929,29915.49
assam,2022,3,barpeta district,4561028,91499.61
assam,2022,3,goalpara district,2054687,45900.77
assam,2022,3,biswanath district,668091,12799.5
assam,2022,3,jorhat district,2264530,36946.75
assam,2022,4,tinsukia district,1847473,36362.19
assam,2022,4,lakhimpur district,1397791,25054.7
assam,2022,4,kamrup district,3473735,64885.65
assam,2022,4,kokrajhar district,1249751,26098.29
assam,2022,4,karbi anglong district,1030879,21897.19
assam,2022,4,sivasagar district,883421,15441.58
assam,2022,4,dibrugarh district,2781759,45402.36
assam,2022,4,south salmara mancachar district,763570,19353.72
assam,2022,4,nagaon district,3466436,74422.95
assam,2022,4,dhubri district,2801543,56969.19
assam,2022,4,golaghat district,1247652,23482.59
assam,2022,4,udalguri district,1048339,19298.47
assam,2022,4,majuli district,170716,2643.77
assam,2022,4,sonitpur district,3570910,59558.79
assam,2022,4,hojai district,1188838,23114.7
assam,2022,4,marigaon district,1732867,36788.92
assam,2022,4,chirang district,763852,16407.47
assam,2022,4,cachar district,3169492,61461.28
assam,2022,4,nalbari district,956563,19135.57
assam,2022,4,west karbi anglong district,139542,2644.24
assam,2022,4,dhemaji district,913590,17493.67
assam,2022,4,karimganj district,1635099,38571.31
assam,2022,4,bongaigaon district,2301942,46636.73
assam,2022,4,dima hasao district,323049,7538.58
assam,2022,4,baksa district,1159058,25394.33
assam,2022,4,charaideo district,620063,12223.35
assam,2022,4,darrang district,1903379,39479.25
assam,2022,4,kamrup metropolitan district,48873033,841833.81
assam,2022,4,hailakandi district,1179854,23074.48
assam,2022,4,barpeta district,5914147,120252.33
assam,2022,4,goalpara district,2471469,54011.52
assam,2022,4,biswanath district,770207,14318.48
assam,2022,4,jorhat district,2231248,35283.74
assam,2023,1,tinsukia district,3283559,61171.51
assam,2023,1,lakhimpur district,2476912,43435.44
assam,2023,1,kamrup district,4930296,93711.0
assam,2023,1,kokrajhar district,2355923,49093.55
assam,2023,1,karbi anglong district,1520698,32149.08
assam,2023,1,sivasagar district,1570623,26729.41
assam,2023,1,dibrugarh district,3760225,56089.75
assam,2023,1,south salmara mancachar district,1508825,43569.23
assam,2023,1,nagaon district,6685799,142299.05
assam,2023,1,dhubri district,4783556,101888.98
assam,2023,1,golaghat district,2224582,40261.22
assam,2023,1,udalguri district,1639335,29992.18
assam,2023,1,majuli district,252765,4028.71
assam,2023,1,sonitpur district,5085643,80455.33
assam,2023,1,hojai district,2133438,40813.01
assam,2023,1,marigaon district,3358524,70721.56
assam,2023,1,chirang district,1227227,26694.8
assam,2023,1,cachar district,5638260,107603.87
assam,2023,1,nalbari district,1785728,36065.7
assam,2023,1,west karbi anglong district,258669,4686.15
assam,2023,1,dhemaji district,1628726,30392.67
assam,2023,1,karimganj district,3129397,73458.68
assam,2023,1,bongaigaon district,3402608,72404.22
assam,2023,1,dima hasao district,567000,12140.16
assam,2023,1,baksa district,2190401,48457.76
assam,2023,1,charaideo district,853791,16286.19
assam,2023,1,darrang district,3615988,71587.36
assam,2023,1,kamrup metropolitan district,22957420,321775.28
assam,2023,1,hailakandi district,2046225,40196.09
assam,2023,1,barpeta district,8607360,187295.28
assam,2023,1,goalpara district,4337423,98334.97
assam,2023,1,biswanath district,1384589,23451.59
assam,2023,1,jorhat district,2559123,36301.88
assam,2023,2,tinsukia district,3851912,65075.26
assam,2023,2,lakhimpur district,3057549,48767.86
assam,2023,2,kamrup district,6019583,103195.07
