State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount
chhattisgarh,2023,3,Recharge & bill payments,25011103,130006.13
chhattisgarh,2023,3,Financial Services,95807,1318.64
chhattisgarh,2023,3,Others,182186,1353.23
chhattisgarh,2023,4,Merchant payments,185440451,1023264.71
chhattisgarh,2023,4,Peer-to-peer payments,110795079,2874528.14
chhattisgarh,2023,4,Recharge & bill payments,25330600,138983.23
chhattisgarh,2023,4,Financial Services,115404,1742.79
chhattisgarh,2023,4,Others,194798,1331.48
chhattisgarh,2024,1,Merchant payments,212194065,1164630.2
chhattisgarh,2024,1,Peer-to-peer payments,124567252,3299767.85
chhattisgarh,2024,1,Recharge & bill payments,29121761,162375.01
chhattisgarh,2024,1,Financial Services,117960,2052.28
chhattisgarh,2024,1,Others,175646,1272.76
chhattisgarh,2024,2,Merchant payments,245595547,1326627.39
chhattisgarh,2024,2,Peer-to-peer payments,134658010,3469121.2
chhattisgarh,2024,2,Recharge & bill payments,31469605,163062.11
chhattisgarh,2024,2,Financial Services,148570,2973.29
chhattisgarh,2024,2,Others,175973,1350.34
dadra-&-nagar-haveli-&-daman-&-diu,2018,1,Recharge & bill payments,95544,175.26
dadra-&-nagar-haveli-&-daman-&-diu,2018,1,Peer-to-peer payments,44599,1519.67
dadra-&-nagar-haveli-&-daman-&-diu,2018,1,Merchant payments,1531,15.81
dadra-&-nagar-haveli-&-daman-&-diu,2018,1,Financial Services,1364,3.53
dadra-&-nagar-haveli-&-daman-&-diu,2018,1,Others,5511,42.31
dadra-&-nagar-haveli-&-daman-&-diu,2018,2,Recharge & bill payments,122834,305.96
dadra-&-nagar-haveli-&-daman-&-diu,2018,2,Peer-to-peer payments,69215,2619.96
dadra-&-nagar-haveli-&-daman-&-diu,2018,2,Merchant payments,3544,46.86
dadra-&-nagar-haveli-&-daman-&-diu,2018,2,Financial Services,2996,3.84
dadra-&-nagar-haveli-&-daman-&-diu,2018,2,Others,4037,44.1
dadra-&-nagar-haveli-&-daman-&-diu,2018,3,Recharge & bill payments,157113,397.91
dadra-&-nagar-haveli-&-daman-&-diu,2018,3,Peer-to-peer payments,119346,3966.98
dadra-&-nagar-haveli-&-daman-&-diu,2018,3,Merchant payments,7465,56.94
dadra-&-nagar-haveli-&-daman-&-diu,2018,3,Financial Services,1477,2.98
dadra-&-nagar-haveli-&-daman-&-diu,2018,3,Others,4174,51.59
dadra-&-nagar-haveli-&-daman-&-diu,2018,4,Peer-to-peer payments,194214,5820.82
dadra-&-nagar-haveli-&-daman-&-diu,2018,4,Recharge & bill payments,185793,499.72
dadra-&-nagar-haveli-&-daman-&-diu,2018,4,Merchant payments,15739,195.77
dadra-&-nagar-haveli-&-daman-&-diu,2018,4,Financial Services,2996,3.72
dadra-&-nagar-haveli-&-daman-&-diu,2018,4,Others,5340,67.47
dadra-&-nagar-haveli-&-daman-&-diu,2019,1,Peer-to-peer payments,408465,7576.58
dadra-&-nagar-haveli-&-daman-&-diu,2019,1,Recharge & bill payments,225998,626.61
dadra-&-nagar-haveli-&-daman-&-diu,2019,1,Merchant payments,20694,170.44
dadra-&-nagar-haveli-&-daman-&-diu,2019,1,Financial Services,1645,2.21
dadra-&-nagar-haveli-&-daman-&-diu,2019,1,Others,5012,57.86
dadra-&-nagar-haveli-&-daman-&-diu,2019,2,Peer-to-peer payments,244134,7340.34
dadra-&-nagar-haveli-&-daman-&-diu,2019,2,Recharge & bill payments,198184,638.74
dadra-&-nagar-haveli-&-daman-&-diu,2019,2,Merchant payments,40781,208.16
dadra-&-nagar-haveli-&-daman-&-diu,2019,2,Financial Services,748,1.55
dadra-&-nagar-haveli-&-daman-&-diu,2019,2,Others,5809,55.61
dadra-&-nagar-haveli-&-daman-&-diu,2019,3,Recharge & bill payments,319142,1045.97
dadra-&-nagar-haveli-&-daman-&-diu,2019,3,Peer-to-peer payments,249944,8211.79
dadra-&-nagar-haveli-&-daman-&-diu,2019,3,Merchant payments,63616,306.35
dadra-&-nagar-haveli-&-daman-&-diu,2019,3,Financial Services,533,4.25
dadra-&-nagar-haveli-&-daman-&-diu,2019,3,Others,5516,46.36
dadra-&-nagar-haveli-&-daman-&-diu,2019,4,Recharge & bill payments,351819,1258.1
dadra-&-nagar-haveli-&-daman-&-diu,2019,4,Peer-to-peer payments,324464,10519.76
dadra-&-nagar-haveli-&-daman-&-diu,2019,4,Merchant payments,86758,453.62
dadra-&-nagar-haveli-&-daman-&-diu,2019,4,Financial Services,1019,2.68
dadra-&-nagar-haveli-&-daman-&-diu,2019,4,Others,4911,32.26
dadra-&-nagar-haveli-&-daman-&-diu,2020,1,Recharge & bill payments,407577,1533.41
dadra-&-nagar-haveli-&-daman-&-diu,2020,1,Peer-to-peer payments,329005,11194.39
dadra-&-nagar-haveli-&-daman-&-diu,2020,1,Merchant payments,137040,667.13
dadra-&-nagar-haveli-&-daman-&-diu,2020,1,Financial Services,668,4.19
dadra-&-nagar-haveli-&-daman-&-diu,2020,1,Others,4289,28.51
dadra-&-nagar-haveli-&-daman-&-diu,2020,2,Recharge & bill payments,525974,1788.78
dadra-&-nagar-haveli-&-daman-&-diu,2020,2,Peer-to-peer payments,323909,10521.18
dadra-&-nagar-haveli-&-daman-&-diu,2020,2,Merchant payments,118801,689.39
dadra-&-nagar-haveli-&-daman-&-diu,2020,2,Financial Services,1826,9.93
dadra-&-nagar-haveli-&-daman-&-diu,2020,2,Others,2642,14.48
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,Recharge & bill payments,455603,2012.23
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,Peer-to-peer payments,419524,14010.21
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,Merchant payments,257572,1434.98
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,Financial Services,1635,17.79
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,Others,3978,22.68
dadra-&-nagar-haveli-&-daman-&-diu,2020,4,Peer-to-peer payments,666995,21537.87
dadra-&-nagar-haveli-&-daman-&-diu,2020,4,Merchant payments,631443,3165.1
dadra-&-nagar-haveli-&-daman-&-diu,2020,4,Recharge & bill payments,509971,2242.47
dadra-&-nagar-haveli-&-daman-&-diu,2020,4,Financial Services,2453,16.84
dadra-&-nagar-haveli-&-daman-&-diu,2020,4,Others,6929,42.84
dadra-&-nagar-haveli-&-daman-&-diu,2021,1,Peer-to-peer payments,768921,23792.21
dadra-&-nagar-haveli-&-daman-&-diu,2021,1,Merchant payments,705821,3675.22
dadra-&-nagar-haveli-&-daman-&-diu,2021,1,Recharge & bill payments,442926,2131.77
dadra-&-nagar-haveli-&-daman-&-diu,2021,1,Financial Services,2243,19.3
dadra-&-nagar-haveli-&-daman-&-diu,2021,1,Others,5333,37.83
dadra-&-nagar-haveli-&-daman-&-diu,2021,2,Peer-to-peer payments,843550,25129.13
dadra-&-nagar-haveli-&-daman-&-diu,2021,2,Merchant payments,802899,4304.87
dadra-&-nagar-haveli-&-daman-&-diu,2021,2,Recharge & bill payments,471136,2087.63
dadra-&-nagar-haveli-&-daman-&-diu,2021,2,Financial Services,1826,17.64
dadra-&-nagar-haveli-&-daman-&-diu,2021,2,Others,5672,37.41
dadra-&-nagar-haveli-&-daman-&-diu,2021,3,Merchant payments,1312241,7067.74
dadra-&-nagar-haveli-&-daman-&-diu,2021,3,Peer-to-peer payments,1262732,33393.47
dadra-&-nagar-haveli-&-daman-&-diu,2021,3,Recharge & bill payments,544322,2532.0
dadra-&-nagar-haveli-&-daman-&-diu,2021,3,Financial Services,2065,22.52
dadra-&-nagar-haveli-&-daman-&-diu,2021,3,Others,8110,43.66
dadra-&-nagar-haveli-&-daman-&-diu,2021,4,Merchant payments,2013673,10589.89
dadra-&-nagar-haveli-&-daman-&-diu,2021,4,Peer-to-peer payments,1577168,42022.91
dadra-&-nagar-haveli-&-daman-&-diu,2021,4,Recharge & bill payments,551618,2949.92
dadra-&-nagar-haveli-&-daman-&-diu,2021,4,Financial Services,2909,31.59
dadra-&-nagar-haveli-&-daman-&-diu,2021,4,Others,11717,64.08
dadra-&-nagar-haveli-&-daman-&-diu,2022,1,Merchant payments,2507246,12279.73
dadra-&-nagar-haveli-&-daman-&-diu,2022,1,Peer-to-peer payments,1745454,46747.87
dadra-&-nagar-haveli-&-daman-&-diu,2022,1,Recharge & bill payments,538134,3262.96
dadra-&-nagar-haveli-&-daman-&-diu,2022,1,Financial Services,2574,26.61
dadra-&-nagar-haveli-&-daman-&-diu,2022,1,Others,9395,53.31
dadra-&-nagar-haveli-&-daman-&-diu,2022,2,Merchant payments,3346697,15368.59
dadra-&-nagar-haveli-&-daman-&-diu,2022,2,Peer-to-peer payments,1861799,50788.32
dadra-&-nagar-haveli-&-daman-&-diu,2022,2,Recharge & bill payments,539562,3729.21
dadra-&-nagar-haveli-&-daman-&-diu,2022,2,Financial Services,1849,21.32
dadra-&-nagar-haveli-&-daman-&-diu,2022,2,Others,9864,44.16
dadra-&-nagar-haveli-&-daman-&-diu,2022,3,Merchant payments,3777156,17055.67
dadra-&-nagar-haveli-&-daman-&-diu,2022,3,Peer-to-peer payments,2086741,53829.5
dadra-&-nagar-haveli-&-daman-&-diu,2022,3,Recharge & bill payments,592431,4252.07
dadra-&-nagar-haveli-&-daman-&-diu,2022,3,Financial Services,2237,31.94
dadra-&-nagar-haveli-&-daman-&-diu,2022,3,Others,7056,37.29
dadra-&-nagar-haveli-&-daman-&-diu,2022,4,Merchant payments,4415771,18890.46
dadra-&-nagar-haveli-&-daman-&-diu,2022,4,Peer-to-peer payments,2215052,57375.39
dadra-&-nagar-haveli-&-daman-&-diu,2022,4,Recharge & bill payments,548795,4260.4
dadra-&-nagar-haveli-&-daman-&-diu,2022,4,Financial Services,2495,31.69
dadra-&-nagar-haveli-&-daman-&-diu,2022,4,Others,7472,38.46
dadra-&-nagar-haveli-&-daman-&-diu,2023,1,Merchant payments,7184933,27788.2
dadra-&-nagar-haveli-&-daman-&-diu,2023,1,Peer-to-peer payments,3623830,90796.54
dadra-&-nagar-haveli-&-daman-&-diu,2023,1,Recharge & bill payments,979503,7469.71
dadra-&-nagar-haveli-&-daman-&-diu,2023,1,Financial Services,3546,28.56
dadra-&-nagar-haveli-&-daman-&-diu,2023,1,Others,12173,57.9
dadra-&-nagar-haveli-&-daman-&-diu,2023,2,Merchant payments,8331573,31356.95
dadra-&-nagar-haveli-&-daman-&-diu,2023,2,Peer-to-peer payments,3962990,98045.34
dadra-&-nagar-haveli-&-daman-&-diu,2023,2,Recharge & bill payments,1046280,8002.84
dadra-&-nagar-haveli-&-daman-&-diu,2023,2,Financial Services,3985,44.31
dadra-&-nagar-haveli-&-daman-&-diu,2023,2,Others,12287,55.95
dadra-&-nagar-haveli-&-daman-&-diu,2023,3,Merchant payments,9582597,35647.11
dadra-&-nagar-haveli-&-daman-&-diu,2023,3,Peer-to-peer payments,4630867,106423.3
dadra-&-nagar-haveli-&-daman-&-diu,2023,3,Recharge & bill payments,1139193,8789.18
dadra-&-nagar-haveli-&-daman-&-diu,2023,3,Financial Services,5572,52.68
dadra-&-nagar-haveli-&-daman-&-diu,2023,3,Others,12099,48.4
dadra-&-nagar-haveli-&-daman-&-diu,2023,4,Merchant payments,11765508,43187.59
dadra-&-nagar-haveli-&-daman-&-diu,2023,4,Peer-to-peer payments,5347152,122343.84
dadra-&-nagar-haveli-&-daman-&-diu,2023,4,Recharge & bill payments,1169931,9919.97
dadra-&-nagar-haveli-&-daman-&-diu,2023,4,Financial Services,5597,77.65
dadra-&-nagar-haveli-&-daman-&-diu,2023,4,Others,14185,51.55
dadra-&-nagar-haveli-&-daman-&-diu,2024,1,Merchant payments,13631073,47915.13
dadra-&-nagar-haveli-&-daman-&-diu,2024,1,Peer-to-peer payments,6113627,135766.02
dadra-&-nagar-haveli-&-daman-&-diu,2024,1,Recharge & bill payments,1353851,11358.64
dadra-&-nagar-haveli-&-daman-&-diu,2024,1,Financial Services,6748,109.25
dadra-&-nagar-haveli-&-daman-&-diu,2024,1,Others,9710,42.92
dadra-&-nagar-haveli-&-daman-&-diu,2024,2,Merchant payments,15510300,51520.49
dadra-&-nagar-haveli-&-daman-&-diu,2024,2,Peer-to-peer payments,6493955,140857.36
dadra-&-nagar-haveli-&-daman-&-diu,2024,2,Recharge & bill payments,1370838,10736.13
dadra-&-nagar-haveli-&-daman-&-diu,2024,2,Financial Services,7715,103.0
dadra-&-nagar-haveli-&-daman-&-diu,2024,2,Others,10307,72.95
delhi,2018,1,Recharge & bill payments,3947297,13205.6
delhi,2018,1,Peer-to-peer payments,2380820,91256.85
delhi,2018,1,Merchant payments,339809,3753.93
delhi,2018,1,Financial Services,136240,455.88
delhi,2018,1,Others,318588,3442.78
delhi,2018,2,Recharge & bill payments,4511737,20781.84
delhi,2018,2,Peer-to-peer payments,3542716,143481.79
delhi,2018,2,Merchant payments,837001,6315.98
delhi,2018,2,Financial Services,205991,665.85
delhi,2018,2,Others,276278,3217.55
delhi,2018,3,Peer-to-peer payments,8557153,226701.23
delhi,2018,3,Recharge & bill payments,5305635,32618.44
delhi,2018,3,Merchant payments,3808395,10484.23
delhi,2018,3,Financial Services,274526,450.51
delhi,2018,3,Others,601339,3504.06
delhi,2018,4,Peer-to-peer payments,9973249,323892.52
delhi,2018,4,Merchant payments,9958967,27384.3
delhi,2018,4,Recharge & bill payments,7483633,39611.61
delhi,2018,4,Financial Services,265004,581.62
delhi,2018,4,Others,1506866,5758.53
delhi,2019,1,Peer-to-peer payments,20216287,482500.24
delhi,2019,1,Merchant payments,13875931,39966.19
delhi,2019,1,Recharge & bill payments,10744978,55213.21
delhi,2019,1,Financial Services,223095,309.97
delhi,2019,1,Others,1947036,6701.72
delhi,2019,2,Merchant payments,20891431,68168.79
delhi,2019,2,Peer-to-peer payments,20570311,659535.71
delhi,2019,2,Recharge & bill payments,12869453,80357.02
delhi,2019,2,Financial Services,137774,339.85
delhi,2019,2,Others,2702543,8666.79
delhi,2019,3,Merchant payments,29453368,98572.21
delhi,2019,3,Peer-to-peer payments,25201978,819044.43
delhi,2019,3,Recharge & bill payments,11133404,104065.24
delhi,2019,3,Financial Services,92061,279.52
delhi,2019,3,Others,3657065,10006.71
delhi,2019,4,Peer-to-peer payments,33040093,1058585.24
delhi,2019,4,Merchant payments,32537378,128645.77
delhi,2019,4,Recharge & bill payments,11609898,95004.86
delhi,2019,4,Financial Services,57063,215.13
delhi,2019,4,Others,3500565,7793.67
delhi,2020,1,Merchant payments,33951545,144707.83
delhi,2020,1,Peer-to-peer payments,32410795,1089876.0
delhi,2020,1,Recharge & bill payments,12822919,94987.91
delhi,2020,1,Financial Services,46529,399.09
delhi,2020,1,Others,2515816,6194.61
delhi,2020,2,Peer-to-peer payments,27155938,862271.24
delhi,2020,2,Merchant payments,24963931,127083.27
delhi,2020,2,Recharge & bill payments,13568505,86998.86
delhi,2020,2,Financial Services,64790,754.06
delhi,2020,2,Others,288854,1626.95
delhi,2020,3,Peer-to-peer payments,41498638,1400740.24
delhi,2020,3,Merchant payments,40973792,218581.77
delhi,2020,3,Recharge & bill payments,13448341,128832.26
delhi,2020,3,Financial Services,85689,1143.42
delhi,2020,3,Others,485401,2341.95
delhi,2020,4,Merchant payments,54581166,311065.55
delhi,2020,4,Peer-to-peer payments,49631928,1715460.56
delhi,2020,4,Recharge & bill payments,14862946,129217.94
delhi,2020,4,Financial Services,114862,1600.08
delhi,2020,4,Others,1349515,5306.76
delhi,2021,1,Merchant payments,72615587,398615.33
delhi,2021,1,Peer-to-peer payments,61957428,2108235.52
delhi,2021,1,Recharge & bill payments,21164274,154474.09
delhi,2021,1,Financial Services,153039,2031.07
delhi,2021,1,Others,1468676,5927.45
delhi,2021,2,Merchant payments,75620295,429333.67
delhi,2021,2,Peer-to-peer payments,68497718,2230349.56
delhi,2021,2,Recharge & bill payments,25026678,153100.96
delhi,2021,2,Financial Services,158170,1900.2
delhi,2021,2,Others,854403,4726.59
delhi,2021,3,Merchant payments,115250887,640069.16
delhi,2021,3,Peer-to-peer payments,93292876,2980055.33
delhi,2021,3,Recharge & bill payments,28427032,209347.35
delhi,2021,3,Financial Services,144460,2206.61
delhi,2021,3,Others,1645353,6904.72
delhi,2021,4,Merchant payments,149204611,889905.16
delhi,2021,4,Peer-to-peer payments,112380292,3765569.72
delhi,2021,4,Recharge & bill payments,30127352,222901.62
delhi,2021,4,Financial Services,199280,2879.5
delhi,2021,4,Others,771824,5697.13
delhi,2022,1,Merchant payments,174454937,982123.81
delhi,2022,1,Peer-to-peer payments,125111881,4153050.46
delhi,2022,1,Recharge & bill payments,29435981,224828.66
delhi,2022,1,Financial Services,195184,2710.39
delhi,2022,1,Others,1801878,6935.89
delhi,2022,2,Merchant payments,233412802,1216577.07
delhi,2022,2,Peer-to-peer payments,143447534,4806858.95
delhi,2022,2,Recharge & bill payments,32971294,268760.6
delhi,2022,2,Financial Services,160827,2094.26
delhi,2022,2,Others,641727,4265.63
delhi,2022,3,Merchant payments,276635347,1342927.49
delhi,2022,3,Peer-to-peer payments,160580425,5094286.27
delhi,2022,3,Recharge & bill payments,37572389,331771.15
delhi,2022,3,Financial Services,195218,2654.8
delhi,2022,3,Others,608782,4486.76
delhi,2022,4,Merchant payments,305621913,1531148.13
delhi,2022,4,Peer-to-peer payments,171970100,5590693.97
delhi,2022,4,Recharge & bill payments,36775874,319542.52
delhi,2022,4,Financial Services,228639,2994.55
delhi,2022,4,Others,606931,4770.99
delhi,2023,1,Merchant payments,246682850,1160530.64
delhi,2023,1,Peer-to-peer payments,135403837,4607273.25
delhi,2023,1,Recharge & bill payments,26976608,339451.64
delhi,2023,1,Financial Services,206979,2750.73
delhi,2023,1,Others,482829,4024.84
delhi,2023,2,Merchant payments,300493650,1269279.49
delhi,2023,2,Peer-to-peer payments,151909146,4988790.08
delhi,2023,2,Recharge & bill payments,29059235,352511.79
delhi,2023,2,Financial Services,219538,3024.41
delhi,2023,2,Others,457429,3679.39
delhi,2023,3,Merchant payments,347213404,1437722.97
delhi,2023,3,Peer-to-peer payments,167791074,5237015.14
delhi,2023,3,Recharge & bill payments,31015600,399254.29
delhi,2023,3,Financial Services,275512,4399.9
delhi,2023,3,Others,411393,3600.21
delhi,2023,4,Merchant payments,381250463,1687664.96
delhi,2023,4,Peer-to-peer payments,185276322,5881311.58
delhi,2023,4,Recharge & bill payments,30903762,418894.35
delhi,2023,4,Financial Services,317005,5013.54
delhi,2023,4,Others,403194,3612.77
delhi,2024,1,Merchant payments,419098312,1833902.84
delhi,2024,1,Peer-to-peer payments,197330105,6044459.33
delhi,2024,1,Recharge & bill payments,33501160,435958.22
delhi,2024,1,Financial Services,319041,6062.17
delhi,2024,1,Others,485440,4757.74
delhi,2024,2,Merchant payments,519857504,2089289.42
delhi,2024,2,Peer-to-peer payments,221272475,6411473.55
delhi,2024,2,Recharge & bill payments,35429237,453182.96
delhi,2024,2,Financial Services,376570,7433.37
delhi,2024,2,Others,604614,7797.46
goa,2018,1,Recharge & bill payments,85991,182.74
goa,2018,1,Peer-to-peer payments,59651,2681.75
goa,2018,1,Merchant payments,7880,110.36
goa,2018,1,Financial Services,1191,5.2
goa,2018,1,Others,6184,58.52
goa,2018,2,Recharge & bill payments,120943,309.94
goa,2018,2,Peer-to-peer payments,87878,4194.92
goa,2018,2,Merchant payments,12456,201.63
goa,2018,2,Financial Services,1903,7.33
goa,2018,2,Others,6395,72.21
goa,2018,3,Recharge & bill payments,158797,403.15
goa,2018,3,Peer-to-peer payments,150297,6394.68
goa,2018,3,Merchant payments,21587,266.34
goa,2018,3,Financial Services,1867,4.68
goa,2018,3,Others,6963,62.81
goa,2018,4,Peer-to-peer payments,246426,10219.02
goa,2018,4,Recharge & bill payments,212122,548.33
goa,2018,4,Merchant payments,45586,666.66
goa,2018,4,Financial Services,2523,7.24
goa,2018,4,Others,8098,88.8
goa,2019,1,Peer-to-peer payments,378848,13107.6
goa,2019,1,Recharge & bill payments,275277,782.13
goa,2019,1,Merchant payments,74527,759.47
goa,2019,1,Financial Services,2013,5.0
goa,2019,1,Others,8147,99.04
goa,2019,2,Peer-to-peer payments,373759,13919.34
goa,2019,2,Recharge & bill payments,278060,932.19
goa,2019,2,Merchant payments,104592,928.73
goa,2019,2,Financial Services,1211,5.16
goa,2019,2,Others,10819,133.26
goa,2019,3,Peer-to-peer payments,475178,17046.68
goa,2019,3,Recharge & bill payments,453806,1579.53
goa,2019,3,Merchant payments,150578,1239.49
goa,2019,3,Financial Services,1510,12.82
goa,2019,3,Others,11344,125.15
goa,2019,4,Peer-to-peer payments,698728,24844.53
goa,2019,4,Recharge & bill payments,552421,2056.02
goa,2019,4,Merchant payments,250893,2184.05
goa,2019,4,Financial Services,1497,6.5
goa,2019,4,Others,11733,143.51
goa,2020,1,Peer-to-peer payments,817198,28516.87
goa,2020,1,Recharge & bill payments,678079,2447.39
goa,2020,1,Merchant payments,373110,2984.22
goa,2020,1,Financial Services,1762,18.16
goa,2020,1,Others,11088,137.07
goa,2020,2,Recharge & bill payments,758617,2411.97
goa,2020,2,Peer-to-peer payments,493326,17667.24
goa,2020,2,Merchant payments,221358,1685.92
goa,2020,2,Financial Services,3081,33.28
goa,2020,2,Others,5710,37.76
goa,2020,3,Peer-to-peer payments,759351,27234.31
goa,2020,3,Recharge & bill payments,696770,2801.88
goa,2020,3,Merchant payments,446880,3531.94
goa,2020,3,Financial Services,4985,64.19
goa,2020,3,Others,7545,51.13
goa,2020,4,Peer-to-peer payments,1550251,54076.26
goa,2020,4,Merchant payments,1389834,11238.44
goa,2020,4,Recharge & bill payments,839199,3450.89
goa,2020,4,Financial Services,7287,103.87
goa,2020,4,Others,14810,128.47
goa,2021,1,Peer-to-peer payments,2235456,75533.85
goa,2021,1,Merchant payments,2195509,17683.59
goa,2021,1,Recharge & bill payments,880682,4106.04
goa,2021,1,Financial Services,8138,122.08
goa,2021,1,Others,11764,126.87
goa,2021,2,Merchant payments,1869384,14115.29
goa,2021,2,Peer-to-peer payments,1866837,61950.32
goa,2021,2,Recharge & bill payments,953219,3838.05
goa,2021,2,Financial Services,8303,123.72
goa,2021,2,Others,12392,101.16
goa,2021,3,Merchant payments,2865625,21431.35
goa,2021,3,Peer-to-peer payments,2560305,78710.93
goa,2021,3,Recharge & bill payments,1017351,4388.38
goa,2021,3,Financial Services,8337,129.43
goa,2021,3,Others,16145,124.16
goa,2021,4,Merchant payments,5474662,43842.51
goa,2021,4,Peer-to-peer payments,4408822,136183.52
goa,2021,4,Recharge & bill payments,1170180,5857.34
goa,2021,4,Financial Services,11320,171.01
goa,2021,4,Others,23775,218.19
goa,2022,1,Merchant payments,6364271,46820.0
goa,2022,1,Peer-to-peer payments,4640380,144498.31
goa,2022,1,Recharge & bill payments,1177071,6464.03
goa,2022,1,Financial Services,11677,174.9
goa,2022,1,Others,20699,207.2
goa,2022,2,Merchant payments,7812998,57362.11
goa,2022,2,Peer-to-peer payments,5097942,163723.43
goa,2022,2,Recharge & bill payments,1279377,7387.66
goa,2022,2,Financial Services,10666,131.93
goa,2022,2,Others,15071,125.25
goa,2022,3,Merchant payments,7595135,51121.75
goa,2022,3,Peer-to-peer payments,4449008,137809.55
goa,2022,3,Recharge & bill payments,1122869,6571.15
goa,2022,3,Financial Services,9992,126.51
goa,2022,3,Others,11683,113.69
goa,2022,4,Merchant payments,10319138,67392.06
goa,2022,4,Peer-to-peer payments,5652373,174219.75
goa,2022,4,Recharge & bill payments,1195865,7341.22
goa,2022,4,Financial Services,12147,157.06
goa,2022,4,Others,13151,139.79
goa,2023,1,Merchant payments,14273665,90748.17
goa,2023,1,Peer-to-peer payments,8071768,247739.22
goa,2023,1,Recharge & bill payments,1816029,11975.59
goa,2023,1,Financial Services,16209,326.49
goa,2023,1,Others,17399,180.2
goa,2023,2,Merchant payments,15990744,101460.4
goa,2023,2,Peer-to-peer payments,8589659,269852.85
goa,2023,2,Recharge & bill payments,1917200,12397.83
goa,2023,2,Financial Services,17352,251.42
goa,2023,2,Others,15635,159.57
goa,2023,3,Merchant payments,16565190,103658.84
goa,2023,3,Peer-to-peer payments,8489945,257354.84
goa,2023,3,Recharge & bill payments,1913363,12346.64
goa,2023,3,Financial Services,17422,262.75
goa,2023,3,Others,13808,128.73
goa,2023,4,Merchant payments,21003656,124786.99
goa,2023,4,Peer-to-peer payments,10430430,303425.97
goa,2023,4,Recharge & bill payments,1991324,14131.14
goa,2023,4,Financial Services,20827,380.68
goa,2023,4,Others,14741,151.94
goa,2024,1,Merchant payments,22163645,127362.52
goa,2024,1,Peer-to-peer payments,10729197,310994.74
goa,2024,1,Recharge & bill payments,2087441,14658.86
goa,2024,1,Financial Services,20782,372.41
goa,2024,1,Others,12922,130.47
goa,2024,2,Merchant payments,23908901,138215.75
goa,2024,2,Peer-to-peer payments,10933835,321554.54
goa,2024,2,Recharge & bill payments,2120776,14199.54
goa,2024,2,Financial Services,24891,418.71
goa,2024,2,Others,12403,159.77
gujarat,2018,1,Recharge & bill payments,3691952,8789.29
gujarat,2018,1,Peer-to-peer payments,1738974,63188.65
gujarat,2018,1,Merchant payments,145436,1660.37
gujarat,2018,1,Financial Services,122117,279.87
gujarat,2018,1,Others,250296,1861.65
gujarat,2018,2,Recharge & bill payments,4643367,15718.8
gujarat,2018,2,Peer-to-peer payments,2483231,100096.81
gujarat,2018,2,Merchant payments,275503,3569.85
gujarat,2018,2,Financial Services,140704,385.98
gujarat,2018,2,Others,202928,1855.41
gujarat,2018,3,Peer-to-peer payments,5287200,152727.45
gujarat,2018,3,Recharge & bill payments,5117168,19380.42
gujarat,2018,3,Merchant payments,573440,4662.09
gujarat,2018,3,Financial Services,136468,249.31
gujarat,2018,3,Others,219873,1644.77
gujarat,2018,4,Peer-to-peer payments,6488202,212072.85
gujarat,2018,4,Recharge & bill payments,6138404,22973.32
gujarat,2018,4,Merchant payments,1656377,10883.73
gujarat,2018,4,Financial Services,133915,306.99
gujarat,2018,4,Others,316405,2072.97
gujarat,2019,1,Peer-to-peer payments,13465044,312312.86
gujarat,2019,1,Recharge & bill payments,8595256,31042.52
gujarat,2019,1,Merchant payments,2493340,12963.76
gujarat,2019,1,Financial Services,114539,195.82
gujarat,2019,1,Others,323272,2045.85
gujarat,2019,2,Peer-to-peer payments,12547493,418536.61
gujarat,2019,2,Recharge & bill payments,10434449,46518.75
gujarat,2019,2,Merchant payments,5486791,25264.48
gujarat,2019,2,Financial Services,70502,173.5
gujarat,2019,2,Others,442607,2712.81
gujarat,2019,3,Peer-to-peer payments,14529353,492065.85
gujarat,2019,3,Merchant payments,11788077,42111.16
gujarat,2019,3,Recharge & bill payments,11349625,57681.0
gujarat,2019,3,Financial Services,78609,205.07
gujarat,2019,3,Others,482985,2563.86
gujarat,2019,4,Peer-to-peer payments,19107911,644774.53
gujarat,2019,4,Recharge & bill payments,12967713,65178.91
gujarat,2019,4,Merchant payments,9964076,54802.69
gujarat,2019,4,Financial Services,63498,202.03
gujarat,2019,4,Others,444434,1948.46
gujarat,2020,1,Peer-to-peer payments,19068093,723937.27
gujarat,2020,1,Recharge & bill payments,15648472,71975.95
gujarat,2020,1,Merchant payments,12191478,72107.59
gujarat,2020,1,Financial Services,50753,274.6
gujarat,2020,1,Others,367621,1655.35
gujarat,2020,2,Recharge & bill payments,19971660,83226.89
gujarat,2020,2,Peer-to-peer payments,17569398,647231.4
gujarat,2020,2,Merchant payments,9645967,71966.11
gujarat,2020,2,Financial Services,59617,531.32
gujarat,2020,2,Others,173543,922.74
gujarat,2020,3,Peer-to-peer payments,23130724,891421.22
gujarat,2020,3,Merchant payments,18338969,127497.97
gujarat,2020,3,Recharge & bill payments,17481357,98206.54
gujarat,2020,3,Financial Services,92278,847.23
gujarat,2020,3,Others,246851,1244.56
