State,Year,Quarter,Brands,Count,Percentage
andaman-&-nicobar-islands,2020,1,Oppo,2557,9.0
andaman-&-nicobar-islands,2020,1,Realme,1511,5.0
andaman-&-nicobar-islands,2020,1,OnePlus,1184,4.0
andaman-&-nicobar-islands,2020,1,Huawei,891,3.0
andaman-&-nicobar-islands,2020,1,Apple,735,3.0
andaman-&-nicobar-islands,2020,1,Motorola,715,3.0
andaman-&-nicobar-islands,2020,1,Lenovo,500,2.0
andaman-&-nicobar-islands,2020,1,Others,2257,8.0
andaman-&-nicobar-islands,2020,2,Xiaomi,7805,24.0
andaman-&-nicobar-islands,2020,2,Vivo,7122,22.0
andaman-&-nicobar-islands,2020,2,Samsung,6030,18.0
andaman-&-nicobar-islands,2020,2,Oppo,2976,9.0
andaman-&-nicobar-islands,2020,2,Realme,1761,5.0
andaman-&-nicobar-islands,2020,2,OnePlus,1271,4.0
andaman-&-nicobar-islands,2020,2,Huawei,1005,3.0
andaman-&-nicobar-islands,2020,2,Apple,792,2.0
andaman-&-nicobar-islands,2020,2,Motorola,779,2.0
andaman-&-nicobar-islands,2020,2,Lenovo,552,2.0
andaman-&-nicobar-islands,2020,2,Others,2617,8.0
andaman-&-nicobar-islands,2020,3,Xiaomi,9794,24.0
andaman-&-nicobar-islands,2020,3,Vivo,9556,23.0
andaman-&-nicobar-islands,2020,3,Samsung,7572,18.0
andaman-&-nicobar-islands,2020,3,Oppo,3730,9.0
andaman-&-nicobar-islands,2020,3,Realme,2285,6.0
andaman-&-nicobar-islands,2020,3,OnePlus,1440,3.0
andaman-&-nicobar-islands,2020,3,Huawei,1213,3.0
andaman-&-nicobar-islands,2020,3,Motorola,907,2.0
andaman-&-nicobar-islands,2020,3,Apple,870,2.0
andaman-&-nicobar-islands,2020,3,Lenovo,606,1.0
andaman-&-nicobar-islands,2020,3,Others,3362,8.0
andaman-&-nicobar-islands,2020,4,Xiaomi,12398,24.0
andaman-&-nicobar-islands,2020,4,Vivo,12275,23.0
andaman-&-nicobar-islands,2020,4,Samsung,9938,19.0
andaman-&-nicobar-islands,2020,4,Oppo,4723,9.0
andaman-&-nicobar-islands,2020,4,Realme,2996,6.0
andaman-&-nicobar-islands,2020,4,OnePlus,1638,3.0
andaman-&-nicobar-islands,2020,4,Huawei,1472,3.0
andaman-&-nicobar-islands,2020,4,Motorola,1032,2.0
andaman-&-nicobar-islands,2020,4,Apple,973,2.0
andaman-&-nicobar-islands,2020,4,Lenovo,708,1.0
andaman-&-nicobar-islands,2020,4,Others,4243,8.0
andaman-&-nicobar-islands,2021,1,Vivo,13812,24.0
andaman-&-nicobar-islands,2021,1,Xiaomi,13714,24.0
andaman-&-nicobar-islands,2021,1,Samsung,10861,19.0
andaman-&-nicobar-islands,2021,1,Oppo,5158,9.0
andaman-&-nicobar-islands,2021,1,Realme,3419,6.0
andaman-&-nicobar-islands,2021,1,OnePlus,1773,3.0
andaman-&-nicobar-islands,2021,1,Huawei,1575,3.0
andaman-&-nicobar-islands,2021,1,Motorola,1062,2.0
andaman-&-nicobar-islands,2021,1,Apple,1056,2.0
andaman-&-nicobar-islands,2021,1,Tecno,796,1.0
andaman-&-nicobar-islands,2021,1,Others,4532,8.0
andaman-&-nicobar-islands,2021,2,Vivo,15056,24.0
